"countrycode","round","countrycode2","name","qualified"
"ALB","first","AL","Albania",TRUE
"ARM","first","AM","Armenia",FALSE
"AUS","second","AU","Australia",TRUE
"AUT","first","AT","Austria",TRUE
"AZE","first","AZ","Azerbaijan",FALSE
"BEL","first","BE","Belgium",TRUE
"BGR","first","BG","Bulgaria",FALSE
"BIH","none","BA","Bosnia & Herzegovina",FALSE
"BLR","first","BY","Belarus",TRUE
"CHE","first","CH","Switzerland",FALSE
"CYP","first","CY","Cyprus",TRUE
"CZE","first","CZ","Czechia",TRUE
"DEU","final","DE","Germany",TRUE
"DNK","second","DK","Denmark",TRUE
"ESP","final","ES","Spain",TRUE
"EST","first","EE","Estonia",TRUE
"FIN","first","FI","Finland",TRUE
"FRA","final","FR","France",TRUE
"GBR","final","GB","UK",TRUE
"GEO","second","GE","Georgia",FALSE
"GRC","first","GR","Greece",FALSE
"HUN","second","HU","Hungary",TRUE
"HRV","first","HR","Croatia",FALSE
"IRL","first","IE","Ireland",TRUE
"ISL","first","IS","Iceland",FALSE
"ISR","first","IL","Israel",TRUE
"ITA","final","IT","Italy",TRUE
"KOS","none","KO","Kosovo",FALSE
"LTU","first","LT","Lithuania",FALSE
"LUX","none","LU","Luxembourg",FALSE
"LVA","second","LV","Latvia",TRUE
"MDA","second","MD","Moldova",TRUE
"MKD","first","MK","Macedonia",FALSE
"MLT","second","MT","Malta",FALSE
"MNE","second","ME","Montenegro",FALSE
"NLD","second","NL","Netherlands",TRUE
"NOR","second","NO","Norway",TRUE
"POL","second","PL","Poland",FALSE
"PRT","final","PT","Portugal",TRUE
"ROU","second","RO","Romania",FALSE
"RUS","second","RU","Russia",TRUE
"SMR","second","SM","San Marino",FALSE
"SRB","second","RS","Serbia",FALSE
"SVK","none","SK","Slovakia",FALSE
"SVN","second","SI","Slovenia",FALSE
"SWE","second","SE","Sweden",TRUE
"UKR","second","UA","Ukraine",TRUE
"TUR","none","TR","Turkey",FALSE
